Dataset_ID,Dataset_Name,Variable_Category,Country_Coverage,Time_Period,Source,Kaggle_Link,File_Format,Tier,File_Size,Download_Time,Save_As_Filename,Target_Columns,Primary_Use,Data_Quality,Completeness,Status,Downloaded,Notes
DS_001,Global Electric Vehicle Sales Data (2010–2024),EV Sales & Share,"China, India, Global",2010–2024,Kaggle,https://www.kaggle.com/datasets/muhammadehsan000/global-electric-vehicle-sales-data-2010-2024,CSV,TIER 1 - CRITICAL,~50 MB,2 min,01_global_ev_sales.csv,"EV_Sales, EV_Share, Country, Year",EV penetration rate for target variable,High,90%,✅ Ready,☐,Essential for EV share calculation. Check for China-India breakdown.
DS_002,Total Worldwide Passenger Car Sales (2005–2022),Passenger Vehicle Sales,"141 countries (China, India)",2005–2022,Kaggle,https://www.kaggle.com/datasets/sukhmandeepsinghbrar/total-worldwide-passenger-cars-sales,CSV,TIER 1 - CRITICAL,~100 MB,2 min,02_worldwide_car_sales.csv,"Sales, Country, Year",Sales baseline for China & India,High,95%,✅ Ready,☐,Foundational series. Clean country-level data. Use for sales_pv variable.
DS_003,China Automobile Monthly Sales Data (2018–2024.4),China Vehicle Sales,China,2018–2024.4,Kaggle,https://www.kaggle.com/datasets/felixzhao/china-automobile-monthly-sales-data-2018-2024-4,CSV,TIER 1 - HIGH,~30 MB,2 min,03_china_monthly_sales.csv,"Monthly_Sales, Year, Month",Recent China sales refinement,High,100%,✅ Ready,☐,Provides recent detail. Aggregate monthly→annual. Use for China 2018+
DS_004,Detailed India EV Market Data (2001–2024),India EV Sales Detail,India,2001–2024,Kaggle,https://www.kaggle.com/datasets/srinrealyf/india-ev-market-data,CSV,TIER 1 - HIGH,~20 MB,2 min,04_india_ev_market.csv,"Total_EV_Sales, EV_Share, Year",India EV time series (long horizon),High,85%,✅ Ready,☐,Very important. Long horizon (2001-2024) with segment breakdown.
DS_005,World Bank World Development Indicators,"GDP, Population, Urbanization","China, India, Global",1960–2024,Kaggle,https://www.kaggle.com/datasets/nicolasgonzalezmunoz/world-bank-world-development-indicators,CSV/XLS,TIER 1 - CRITICAL,~200 MB,5 min,05_wb_wdi.csv,"GDP, Population, Urban_Rate, LPI, Country, Year","Macro drivers (GDP, Pop, Urbanization)",Excellent,99%,✅ Ready,☐,"Contains multiple indicators. Extract GDP (NY.GDP.MKTP.CD), Pop (SP.POP.TOTL), Urban (SP.URB.TOTL.IN.ZS)"
DS_006,Logistics Performance Index (LPI),Infrastructure (LPI Scores),"China, India, Global",2007–2023 (biennial),World Bank (Direct),https://lpi.worldbank.org,Excel/CSV,TIER 1 - CRITICAL,~10 MB,5 min (manual),06_lpi_biennial.csv,"LPI_Overall, LPI_Infra, Country, Year",Infrastructure driver (LPI),Excellent,95% (biennial),✅ Ready,☐,"Biennial (2007, 2010, 2012, 2014, 2016, 2018, 2020, 2023). Interpolate to annual."
DS_007,Electric Vehicle Sales In India,India EV Sales,India,2010–2024 (approx),Kaggle,https://www.kaggle.com/datasets/praveenchoudhary1217/electric-vehicle-sales-in-india,CSV,TIER 2 - MEDIUM,~10 MB,2 min,09_india_ev_sales_alt.csv,"EV_Sales, Category, Year",Cross-check India EV series,Medium,80%,✅ Ready,☐,Cross-check against Detailed India EV data. Verify consistency.
DS_008,Electric Vehicle Sales by State in India,India EV Sales (State-Level),India (state-wise),2015–2024 (approx),Kaggle,https://www.kaggle.com/datasets/mafzal19/electric-vehicle-sales-by-state-in-india,CSV,TIER 2 - LOW,~5 MB,1 min,10_india_ev_by_state.csv,"EV_Sales, State, Year",State-level analysis (optional),Medium,75%,✅ Ready,☐,Aggregate to national totals. Optional for spatial analysis in future.
DS_009,India Car Sales Data 2024,India Vehicle Sales (Detail),India,2018–2024,Kaggle,https://www.kaggle.com/datasets/sourd810/car-sales-india-2024,CSV,TIER 2 - MEDIUM,~20 MB,2 min,11_india_car_sales_2024.csv,"Sales, Brand, Segment, Year",Recent India validation (2023-24),High,90%,✅ Ready,☐,Recent data validation. Use for 2023-2024 RMSE verification.
DS_010,"Car Sales Dataset: Model, Features, and Pricing",India Car Pricing & Features,India,2024,Kaggle,https://www.kaggle.com/datasets/msnbehdani/mock-dataset-of-second-hand-car-sales,CSV,TIER 3 - LOW,~15 MB,2 min,12_car_pricing_features.csv,"Price, Features, Model, Year",Optional pricing analysis,Medium,70%,✅ Ready,☐,Optional. Use only if segment-wise pricing analysis needed.
DS_011,Most Popular Indian Automobile Cars Dataset,India Car Market (Brands/Models),India,2023,Kaggle,https://www.kaggle.com/datasets/durgeshrao9993/durgeshcars,CSV,TIER 3 - LOW,~10 MB,1 min,13_india_car_brands.csv,"Brand, Model, Popularity, Year",Optional segment distribution,Medium,75%,✅ Ready,☐,Optional. Use only if brand analysis needed.
DS_012,Vehicle Sales Data (General),General Vehicle Sales,Multiple countries,Varies,Kaggle,https://www.kaggle.com/datasets/syedanwarafridi/vehicle-sales-data,CSV,TIER 3 - LOW,Varies,Varies,14_general_vehicle_sales.csv,"Sales, Country, Year",General benchmark,Varies,Varies,✅ Ready,☐,Low priority. Use only if additional benchmarking needed.
DS_013,India EV Policy & Subsidy Timeline (MANUAL),Policy Dummies,India,1999–2025,"SIAM, NITI Aayog, Govt","https://www.siam.in, https://www.niti.gov.in",CSV (Manual),CRITICAL,N/A,30 min (research),07_india_policy_timeline.csv,"Year, Policy_Name, Policy_Dummy, Subsidy_Index",Policy dummy for India,Manual,To be built,⏳ To Create,☐,"CONSTRUCT from FAME Scheme announcements. Key years: 2015, 2019, 2023"
DS_014,China EV Policy & Subsidy Timeline (MANUAL),Policy Dummies,China,1999–2025,"CSIS, ICCT, Bloomberg","https://www.csis.org, https://www.icct.org",CSV (Manual),CRITICAL,N/A,30 min (research),08_china_policy_timeline.csv,"Year, Policy_Name, Policy_Dummy, Subsidy_Index",Policy dummy for China,Manual,To be built,⏳ To Create,☐,"CONSTRUCT from NEV policy announcements. Key years: 2009, 2015, 2020-23"
DS_015,Fuel Price Data (Global) (MANUAL),Energy Price Proxy,"China, India, Global",2000–2025,IEA / World Bank,"https://www.iea.org, https://data.worldbank.org",CSV/Excel,MEDIUM,~5 MB,10 min,15_fuel_price_data.csv,"Year, Fuel_Price, Country",Energy price proxy,Medium,85%,✅ Ready,☐,Optional. Use WDI pump price if IEA not available.
